Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.113386,0.420873,90.000000,top
"C2","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.448622,0.430912,90.000000,top
"C5","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.440945,1.322835,90.000000,top
"C6","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.523622,1.322835,90.000000,top
"D1","LED","1212_LED_Pol",1.017690,0.898484,-29.143000,top
"D2","LED","1212_LED_Pol",1.262690,0.554114,-80.000000,top
"D3","LED","1212_LED_Pol",1.143753,0.139350,45.000000,top
"D4","LED","1212_LED_Pol",0.440945,0.133858,135.000000,top
"D5","LED","1212_LED_Pol",0.289029,0.523760,80.000000,top
"D6","LED","1212_LED_Pol",0.516233,0.885335,30.000000,top
"R2","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.968504,1.120079,90.000000,top
"R4","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.062992,1.120079,90.000000,top
"R6","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.157480,1.120079,90.000000,top
"R8","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.377953,1.118110,90.000000,top
"R10","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.464567,1.118110,90.000000,top
"R12","100r","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.551181,1.118110,90.000000,top
